remoteId;published;modified;Titolo;"Eventuale sottotitolo";"Tipo di evento";"Identificativo dell'evento";"Date ed orari dell'evento";"Descrizione breve";Argomenti;"Descrizione completa";"Galleria immagini";Video;"Iniziativa di cui fa parte";Destinatari;"Informazioni sui destinatari";"Luogo dell'evento";lat;lon;address;"Presenti all'evento";"E' gratuito";"Informazioni sui costi";Offerta;Locandina;Allegati;"Punti di contatto";Contatti;"Ulteriori informazioni";Organizzatori;"Informazioni sugli organizzatori";Patrocinio;Sponsor;"Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento";"Chi presenta";"Servizio di traduzione curato da";"Lingue usate all'evento";"Numero massimo di posti";"Tempo di lettura";"Parole chiave";"Valutazione dell'evento";Appuntamenti;Recensione;"Indicato per"
62ca3e708984ee3500dabb754e4fd02b;2024-02-09T08:45:52+01:00;2024-02-09T08:45:52+01:00;"Sagra di Santa Apollonia";;Sagra;;;"Ritorna, la tradizionale Sagra di Santa Apollonia giunta alla 419° edizione.";"Questioni sociali
Tempo libero";"Ritorna, la tradizionale Sagra di Santa Apollonia giunta alla 419° edizione.Una sagra le cui origini si perdono nel tempo; una festa a cui partecipa tutto il paese. Tutti, dai più grandi ai più piccoli, si danno da fare e collaborano alla buona riuscita; anche i bambini partecipano e aiutano nelle varie attività. Una grandissima festa per tutto il paese sempre festeggiata il 9 febbraio indipendentemente dal giorno in cui cade sia esso un giorno festivo o un giorno feriale.Un’occasione di ritrovarsi, di stare assieme, di sentirsi un po’ più Comunità: una Comunità viva, coesa, con la propria identità, attaccata alla propria storia e alle proprie tradizioni pronta a condividerle con chi vorrà farne parte.";;;;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;;;;;https://www.comune.castel-ivano.tn.it/content/download/3287/37076/1/apollonia.jpg;;"Contatti Azienda per il turismo Valsugana Lagorai";;;;;;;;;;;0;2;;;;;
4db7ee9d793a341dc9c43d85edf05f22;2024-01-29T13:49:25+01:00;2024-02-09T08:39:26+01:00;"Bigolada Del Martedì Grasso";;"Evento culturale,Sagra";;;"a Strigno";"Tempo libero";"Tradizionale festa di carnevale in Piazza Municipio a Strigno.Con musica, stand enogastronomico, mascherine e carri di carnevale, ricca lotteria.";;;;Famiglie,Adulti,Anziani;;;;;;;;;;"Contatti Azienda per il turismo Valsugana Lagorai";;;;;;;;;;;0;2;;;;;
cf61d5fa88d356b8e338ea4f474def00;2024-02-15T16:39:59+01:00;2024-02-15T16:39:59+01:00;"M'illumino di meno";;"Evento sociale";;;"Il Comune di Castel Ivano aderisce a &quot;M'illumino di meno&quot;, la giornata nazionale del risparmio energetico e degli stili di vita sostenibili promossa da Rai Radio2 con la trasmissione Caterpillar.M’illumino di Meno si celebra ogni anno il 16 febbraio per diffondere la cultura della sostenibilità ambientale e del risparmio delle risorse.La Giornata Nazionale del Risparmio Energetico e degli Stili di Vita Sostenibili è stata istituita dal Parlamento con la Legge n. 34/2022.NELLA SERATA DI VENERDI' 16 FEBBRAIO L'ILLUMINAZIONE PUBBLICA DEI CENTRI STORICI DI CASTEL IVANO VERRA' SPENTA DALLE 20.30 ALLE 21.00.";"Energia
Risparmio energetico";"Il Comune di Castel Ivano aderisce a &quot;M'illumino di meno&quot;, la giornata nazionale del risparmio energetico e degli stili di vita sostenibili promossa da Rai Radio2 con la trasmissione Caterpillar.M’illumino di Meno si celebra ogni anno il 16 febbraio per diffondere la cultura della sostenibilità ambientale e del risparmio delle risorse.La Giornata Nazionale del Risparmio Energetico e degli Stili di Vita Sostenibili è stata istituita dal Parlamento con la Legge n. 34/2022.NELLA SERATA DI VENERDI' 16 FEBBRAIO L'ILLUMINAZIONE PUBBLICA DEI CENTRI STORICI DI CASTEL IVANO VERRA' SPENTA DALLE 20.30 ALLE 21.00.";"M'illumino di meno";;;Adulti,Anziani,Bambini,Famiglie,Giovani;;;;;;;;https://www.comune.castel-ivano.tn.it/content/download/3418/39263/1/M%27illumino+di+Meno+2024+-+press+ITALIANO.pdf;;"Contatti Pedenzini Attilio";;;"Comune di Castel Ivano";;;;;;;Italiano;0;2;;;;;
94252ece7345b93436c0695518731773;2024-02-15T17:15:45+01:00;2024-02-15T17:24:48+01:00;"Festa della donna";;"Raduno di comunità";;;"Torna la tradizionale Festa della donna organizzata dalla Pro Loco di Spera alla sala polivalente.";"Tempo libero";"Festa danzante.";"Festa della donna 2024";;;Adulti,Famiglie,Giovani,Anziani;;"Sala polivalente di Spera";;;;;;;;"Pro Loco di Spera";;;"Pro Loco di Spera";;;;;;;Italiano;0;2;;;;;
53d219e20a54658d6ee22fcc80702506;2024-02-16T08:59:20+01:00;2024-02-16T09:06:47+01:00;"Alla scoperta dei nostri diritti";;"Laboratorio,Evento culturale";;;"Letture e attività laboratoriali sulla Convenzione internazionale sui diritti dell'infanzia (1989) a cura di Valentina Scantamburlo. Per bambine/i dai 3 ai 9 anni. Terzo incontro: art. 27: DIRITTO A UNA CASA, a seguire il laboratorio IL MEMORY DELLE CASE.";"Questioni sociali
Politica familiare";"Gli assessorati alle politiche sociali dei comuni di Castel Ivano, Bieno, Ospedaletto, Samone e Scurelle propongono una serie di letture/laboratori per i bambini dedicati alla Convenzione ONU sui diritti dell'infanzia e dell'adolescenza, (Convention on the Rights of the Child - CRC), approvata dall’Assemblea Generale delle Nazioni Unite il 20 novembre 1989 e ratificata dall'Italia il 27 maggio 1991 con la Legge n. 176.In questa occasione il tema delle letture è l'articolo 27 (Diritto a una casa), con il laboratorio IL MEMORY DELLE CASE. ";"Alla scoperta dei nostri diritti";;;Bambini;"Per bambine/i dai 3 ai 9 anni.";"Spazio civico Albano Tomaselli";;;;;;https://www.comune.castel-ivano.tn.it/content/download/3426/39412/2/diritti.jpeg;;"Contatti Bozzola Ezia";;"Attività gratuita a numero chiuso. Iscrizione obbligatoria entro giovedì 22 febbraio scrivendo a: genitoriefigli.crescereinsieme@gmail.com.Seguiranno altri appuntamenti a Castel Ivano (Agnedo), Scurelle e Bieno.";"Comune di Castel Ivano";;;;;;;Italiano;80;2;;;;;
3d2fd92bf386380ed7cbf07958efa2d6;2024-02-20T13:19:22+01:00;2024-02-20T13:33:24+01:00;"Gara dei Tre colli";;Corsa;;;"Gara interregionale. Finale provinciale CSI di corsa su strada.";"Tempo libero
Sport";"L’Unione sportiva Castel Ivano organizza, con l’approvazione del Centro Sportivo Italiano, il patrocinio del Comune di Castel Ivano e della Provincia autonoma di Trento, in collaborazione con le associazioni del paese, la Gara dei Tre colli - Memorial Gioacchino Purin, prima prova finale provinciale CSI di corsa su strada, gara interregionale che si terrà a Castel Ivano, frazione di Spera (TN), domenica 21 aprile 2024.Le gare saranno disputate a Spera con ritrovo alle ore 14 nel piazzale del Municipio e inizio delle gare alle ore 14.30.Alle gare possono partecipare tutti gli atleti/e tesserati CSI per le società del Trentino - Alto Adige, Veneto, Lombardia e tutti i possessori di altra tessera (FIDAL o altro EPS) validamente utilizzabile secondo le vigenti convenzioni FIDAL/CSI - CSI/altri EPS.";"Gara dei tre colli 2024";;;Giovani,Famiglie,Bambini;;;;;;"Iscrizione gratuita";;;;"Contatti Unione Sportiva Castel Ivano ASD";;;"Unione sportiva Castel Ivano ASD";;;;;;;Italiano;600;2;;;;;
fc717c4b25534fc247d83bfaa0fdd14f;2024-02-21T17:05:44+01:00;2024-02-21T17:05:44+01:00;"A tavola con gusto, ma con il piatto giusto";;"Convegno / Conferenza";;;"Nell'ambito di &quot;CuraInsieme. Percorso per caregivers familiari&quot;, La comunità Valsugana e Tesino propone un incontro con la dott.ssa Ramona Camellini, dietista. Si parlerà di cosa mettiamo nel piatto oggi: l'ABC della dieta per affrontare meglio la giornata.";Istruzione;"L'incontro è rivolto a persone che desiderano:


avere informazioni per gestire al meglio la giornata alimentare nella terza età;

comprendere il ruolo della persona che si prende cura di un proprio familiare anziano (caregiver) e conoscere il progetto CuraInsieme.


";CuraInsieme;;;Adulti;;"Centro di servizi per anziani ""Villa Prati""";;;;;;https://www.comune.castel-ivano.tn.it/content/download/3501/40509/1/loc_CURAINSIEME-percCAREGIVERfam_ValsuganaTesino_feb24.jpg;;"Contatti Settore socio-assistenziale della Comunità Valsugana e Tesino";;;;;;;;;;Italiano;0;2;;;;;
cb4d803e36e4f4f5f15ab14b73459eee;2024-02-21T17:18:56+01:00;2024-02-21T17:18:56+01:00;"1939-1943: la guerra dell'Italia nei Balcani";;"Conferenza e summit";;;"Incontro con Aldo Degaudenz.";Istruzione;"Incontro autogestito dagli studenti dell'Università della terza età e del tempo disponibile.";UTETD;;;Anziani,Adulti;;"Spazio civico Albano Tomaselli";;;;;;;;"Contatti Ufficio Biblioteca comunale Albano Tomaselli";;;;;;;;;;Italiano;80;2;;;;;
11b0d3b3d7d07d493391097e64db52f6;2024-02-21T17:14:34+01:00;2024-02-21T17:14:34+01:00;"La cardiologia moderna";;"Conferenza e summit";;;"Incontro con il prof. Marcello Disertori, già primario del reparto di cardiologia dell'Ospedale Santa Chiara di Trento.";"Questioni sociali";"Incontro autogestito dagli studenti dell'Università della terza età e del tempo disponibile.";UTETD;;;Anziani;;"Spazio civico Albano Tomaselli";;;;;;;;"Contatti Ufficio Biblioteca comunale Albano Tomaselli";;;;;;;;;;;60;2;;;;;
5dae193eff43f083f1d6bf4bfd764316;2024-02-21T17:21:20+01:00;2024-02-21T17:21:20+01:00;"1943-1953. Una guerra quasi dimenticata: il tracollo dell'Italia, le foibe, l'esodo";;"Conferenza e summit";;;"Incontro con Aldo Degaudenz.";Istruzione;"Incontro autogestito dagli studenti dell'Università della terza età e del tempo disponibile.";UTETD;;;Adulti,Anziani;;"Spazio civico Albano Tomaselli";;;;;;;;"Contatti Ufficio Biblioteca comunale Albano Tomaselli";;;;;;;;;;Italiano;80;2;;;;;
