id,legalName,openingHours,telephone,email,url,sports,location
57,campo calcio 2,,,,,[12],731.0
5,,,,,,[60],726.0
5,,,,,,[114],726.0
5,,,,,,[12],732.0
5,,,,,,"[12, 97]",733.0
5,,,,,,[118],733.0
5,,,,,,[97],734.0
5,,,,,,[97],735.0
5,,,,,,[12],736.0
5,,,,,,[12],737.0
5,,,,,,[97],738.0
5,,,,,,[97],739.0
5,,,,,,[12],740.0
5,,,,,,[12],741.0
58,Campo sportivo Pineta,,,,,[12],742.0
59,Campo sportivo Cereghini,,,,,[12],742.0
5,,,,,,[120],743.0
5,,,,,,[12],744.0
5,,,,,,[12],745.0
5,,,,,,[12],746.0
5,,,,,,[12],746.0
5,,,,,,[12],745.0
5,,,,,,[60],747.0
60,Polsa Tennis Camp,,,,,[97],748.0
61,Palagarda,,,,,[60],749.0
5,,,,,,[60],750.0
5,,,,,,[12],751.0
5,,,,,,[12],752.0
5,,,,,,[97],1552.0
5,,,,,,[97],1552.0
5,,,,,,[97],1552.0
5,,,,,,[97],752.0
62,Circolo Tennis Villa Lagarina,,,,,[97],754.0
5,,,,,,[12],580.0
63,Campo da tennis,,,,,[97],755.0
5,,,,,,[97],756.0
5,,,,,,[60],757.0
5,,,,,,[121],758.0
5,,,,,,[12],759.0
5,,,,,,[12],760.0
5,,,,,,[12],761.0
5,,,,,,[97],630.0
5,,,,,,[97],630.0
5,,,,,,[12],762.0
5,,,,,,[12],630.0
5,,,,,,[125],763.0
5,,,,,,[121],764.0
5,,,,,,[12],765.0
5,,,,,,[126],766.0
5,,,,,,[110],630.0
5,,,,,,[12],767.0
5,,,,,,[12],768.0
5,,,,,,[65],767.0
5,,,,,,[97],767.0
5,,,,,,[97],630.0
5,,,,,,[60],769.0
5,,,,,,[60],770.0
5,,,,,,[60],746.0
5,,,,,,[12],771.0
5,,,,,,[12],772.0
5,,,,,,[12],773.0
5,,,,,,[12],774.0
5,,,,,,[97],775.0
5,,,,,,[12],775.0
5,,,,,,[12],776.0
5,,,,,,[12],777.0
5,,,,,,[60],778.0
5,,,,,,[12],778.0
64,Campo da Tamburello,,,,,[97],779.0
5,,,,,,[12],780.0
5,,,,,,[12],781.0
5,,,,,,[65],782.0
5,,,,,,[12],783.0
5,,,,,,[12],783.0
5,,,,,,[60],784.0
5,,,,,,[12],785.0
5,,,,,,[120],786.0
5,,,,,,[98],787.0
5,,,,,,[120],787.0
5,,,,,,[12],788.0
5,,,,,,[65],788.0
5,,,,,,[12],789.0
65,Palestra Comunale,,,,,[65],790.0
5,,,,,,[12],791.0
5,,,,,,[12],792.0
66,Circolo Tennis Ledro,,+39 0464 508740,,http://www.ctledro.it,[97],793.0
5,,,,,,[120],794.0
5,,,,,,[12],795.0
5,,,,,,[110],796.0
5,,,,,,[12],797.0
5,,,,,,[97],798.0
5,,,,,,[12],799.0
5,,,,,,[60],664.0
5,,,,,,[97],664.0
67,Campo sportivo,,,,,[12],800.0
5,,,,,,[12],801.0
67,Campo sportivo,,,,,[12],802.0
5,,,,,,[98],803.0
5,,,,,,[60],804.0
5,,,,,,[12],805.0
67,Campo sportivo,,,,,[12],806.0
5,,,,,,[110],807.0
5,,,,,,[12],807.0
5,,,,,,[12],808.0
5,,,,,,[12],809.0
5,,,,,,[97],810.0
5,,,,,,[12],811.0
5,,,,,,[12],812.0
5,,,,,,[97],813.0
5,,,,,,[12],814.0
5,,,,,,[120],811.0
5,,,,,,[97],811.0
5,,,,,,[12],815.0
5,,,,,,[97],816.0
5,,,,,,[12],817.0
5,,,,,,[60],695.0
5,,,,,,[97],696.0
5,,,,,,[60],818.0
68,Campo Sportivo,,,,,[12],819.0
51,Tennis,,,,,[97],820.0
5,,,,,,[65],821.0
5,,,,,,[12],822.0
5,,,,,,[97],823.0
5,,,,,,[12],737.0
5,,,,,,[12],824.0
69,Campo,,,,www.saccone.info,[12],825.0
5,,,,,,[12],826.0
70,Campo da Tennis,,,,,[97],827.0
68,Campo Sportivo,,,,,[12],828.0
5,,,,,,[12],829.0
5,,,,,,[12],830.0
71,Campo da Calcio,,,,,[12],831.0
5,,,,,,[97],831.0
71,Campo da Calcio,,,,,[12],832.0
5,,,,,,[120],833.0
72,Centro Polifunzionale,,,,,"[60, 65]",834.0
5,,,,,,[12],835.0
73,Campo di Tamburello,,,,,[127],836.0
74,Rech-Hof Tennis,,,,,[97],837.0
5,,,,,,[97],838.0
5,,,,,,[97],839.0
5,,,,,,[97],840.0
5,,,,,,[97],841.0
75,Circolo Tennis,,,,,[97],842.0
5,,,,,,[97],843.0
76,Campo Albaredo,,,,,[12],844.0
5,,,,,,[12],845.0
5,,,,,,[12],845.0
5,,,,,,[97],846.0
5,,,,,,[97],847.0
5,,,,,,[97],
5,,,,,,[97],
77,"Stadio ""Mutinelli""",,,,,[12],849.0
5,,,,,,[97],850.0
78,Casae,,,,,[12],851.0
79,Campo di Calcio AC Fassa,,,,,[12],852.0
5,,,,,,[12],853.0
5,,,,,,[97],853.0
80,Antistadio Quercia,,,,,[12],854.0
5,,,,,,[12],855.0
5,,,,,,[121],856.0
5,,,,,,[60],
81,Crossodromo Ai Laghi,,,,,[128],858.0
5,,,,,,[97],859.0
5,,,,,,[97],860.0
5,,,,,,[97],861.0
5,,,,,,[12],862.0
5,,,,,,[12],863.0
5,,,,,,[12],864.0
5,,,,,,[60],865.0
5,,,,,,[97],865.0
5,,,,,,[97],865.0
5,,,,,,[97],866.0
5,,,,,,[12],867.0
5,,,,,,[12],868.0
5,,,,,,[118],869.0
5,,,,,,[12],869.0
5,,,,,,[97],869.0
5,,,,,,[12],870.0
82,Sferisterio comunale di Tesero,,,,,[121],871.0
83,Centro del Fondo Fiemme 2013,,,,,[129],872.0
5,,,,,,[12],873.0
5,,,,,,[97],874.0
5,,,,,,[97],875.0
5,,,,,,[97],876.0
5,,,,,,[12],877.0
5,,,,,,[97],878.0
5,,,,,,[97],879.0
5,,,,,,[97],878.0
5,,,,,,[97],879.0
5,,,,,,[97],879.0
5,,,,,,[97],878.0
5,,,,,,[12],880.0
5,,,,,,[97],878.0
5,,,,,,[97],881.0
5,,,,,,[12],881.0
5,,,,,,[120],882.0
5,,,,,,[97],882.0
5,,,,,,[97],882.0
5,,,,,,[12],883.0
5,,,,,,[12],884.0
5,,,,,,[97],885.0
5,,,,,,[97],845.0
5,,,,,,[97],718.0
5,,,,,,[12],701.0
5,,,,,,[12],886.0
84,Campo sportivo Meano,,,,,[12],887.0
5,,,,,,[12],
5,,,,,,[60],
5,,,,,,[12],890.0
5,,,,,,[12],891.0
5,,,,,,[12],805.0
5,,,,,,[97],892.0
5,,,,,,[12],892.0
5,,,,,,[60],893.0
5,,,,,,[97],894.0
5,,,,,,[97],894.0
5,,,,,,[97],895.0
5,,,,,,[12],895.0
5,,,,,,[97],894.0
5,,,,,,[97],895.0
5,,,,,,[97],894.0
5,,,,,,[12],894.0
5,,,,,,[97],895.0
5,,,,,,[97],896.0
5,,,,,,[97],897.0
5,,,,,,[97],606.0
5,,,,,,[60],774.0
5,,,,,,[12],898.0
8,Bocciodromo,,,,,[110],899.0
5,,,,,,[118],900.0
5,,,,,,[97],900.0
85,Campo Sportivo Preore,,,,,[12],901.0
5,,,,,,[120],902.0
86,Bocciodromo Sesena,,,bocce.tioneditrento@gmail.com,,[118],903.0
5,,,,,,[112],904.0
5,,,,,,[60],902.0
5,,,,,,[97],905.0
5,,,,,,[12],906.0
5,,,,,,[12],906.0
5,,,,,,[97],907.0
5,,,,,,[12],908.0
5,,,,,,[12],909.0
5,,,,,,[97],910.0
5,,,,,,[12],911.0
5,,,,,,[97],911.0
5,,,,,,[12],909.0
5,,,,,,[60],600.0
5,,,,,,[97],912.0
87,Campo volo levico,,,,http://www.gavs-trentino.it/,[130],913.0
5,,,,,,[109],914.0
5,,,,,,[12],915.0
5,,,,,,[12],916.0
5,,,,,,[60],917.0
5,,,,,,[12],621.0
5,,,,,,[97],918.0
5,,,,,,[97],919.0
5,,,,,,[12],920.0
5,,,,,,[97],921.0
5,,,,,,[97],922.0
5,,,,,,[97],923.0
5,,,,,,[12],922.0
5,,,,,,[12],923.0
88,centro sportivo Parti,,,,,[12],924.0
5,,,,,,[12],925.0
5,,,,,,[97],926.0
5,,,,,,[12],926.0
5,,,,,,[12],927.0
5,,,,,,[97],928.0
67,Campo sportivo,,,,,[12],929.0
89,Campo tennis,,,,,[97],930.0
5,,,,,,[12],931.0
5,,,,,,[131],932.0
5,,,,,,[97],933.0
5,,,,,,[12],1508.0
5,,,,,,[132],934.0
5,,,,,,[12],935.0
5,,,,,,[12],
5,,,,,,[12],937.0
5,,,,,,[97],938.0
5,,,,,,[97],737.0
5,,,,,,[97],737.0
5,,,,,,[97],939.0
5,,,,,,[12],939.0
5,,,,,,[12],940.0
5,,,,,,[12],941.0
5,,,,,,[97],941.0
5,,,,,,[12],942.0
70,Campo da Tennis,,,,,[97],943.0
5,,,,,,[12],944.0
5,,,,,,[12],945.0
5,,,,,,[12],946.0
5,,,,,,[12],947.0
5,,,,,,[97],948.0
5,,,,,,[97],949.0
5,,,,,,[97],950.0
5,,,,,,[97],950.0
5,,,,,,[60],951.0
90,Bocciodromo Comunale,,,,,[110],952.0
70,Campo da Tennis,,,,,[97],953.0
5,,,,,,[12],954.0
5,,,,,,[97],955.0
5,,,,,,[12],956.0
5,,,,,,[121],957.0
5,,,,,,[12],955.0
5,,,,,,[97],927.0
5,,,,,,[97],958.0
5,,,,,,[97],591.0
5,,,,,,[97],591.0
5,,,,,,[97],591.0
5,,,,,,[97],958.0
5,,,,,,[97],591.0
5,,,,,,[97],591.0
5,,,,,,[97],591.0
5,,,,,,[97],591.0
5,,,,,,[97],591.0
5,,,,,,[120],959.0
5,,,,,,[12],960.0
5,,,,,,[12],961.0
5,,,,,,[12],962.0
5,,,,,,[12],963.0
5,,,,,,[97],964.0
5,,,,,,[12],965.0
5,,,,,,[97],965.0
5,,,,,,[97],964.0
5,,,,,,[97],772.0
91,Campo da Tennis sintetico,,,,,[97],966.0
5,,,,,,[97],967.0
5,,,,,,[97],968.0
5,,,,,,[97],968.0
5,,,,,,[97],969.0
5,,,,,,[12],970.0
5,,,,,,[60],971.0
5,,,,,,[97],972.0
5,,,,,,[12],973.0
5,,,,,,[60],973.0
5,,,,,,[97],974.0
5,,,,,,[121],975.0
5,,,,,,[97],976.0
5,,,,,,[97],976.0
5,,,,,,[12],976.0
5,,,,,,[12],977.0
5,,,,,,[12],978.0
5,,,,,,[97],977.0
5,,,,,,[12],979.0
5,,,,,,[97],980.0
5,,,,,,[97],981.0
5,,,,,,[121],982.0
5,,,,,,[12],983.0
5,,,,,,[97],981.0
5,,,,,,[97],984.0
5,,,,,,[12],985.0
5,,,,,,[12],986.0
5,,,,,,[97],986.0
5,,,,,,[12],987.0
5,,,,,,[12],988.0
5,,,,,,[12],989.0
5,,,,,,[12],990.0
5,,,,,,[12],991.0
5,,,,,,[12],992.0
5,,,,,,[12],993.0
8,Bocciodromo,,,,,[110],
5,,,,,,[65],994.0
5,,,,,,[12],995.0
5,,,,,,[12],996.0
5,,,,,,[12],997.0
5,,,,,,"[97, 12]",998.0
5,,,,,,[12],999.0
5,,,,,,[12],999.0
5,,,,,,[97],881.0
92,Campo Sportivo «Don Santo Goio»,,,,,[12],1000.0
5,,,,,,[109],878.0
93,Molveno lower takeoff,,,,,[115],1001.0
5,,,,,,[12],670.0
5,,,,,,[60],1002.0
5,,,,,,[12],1002.0
5,,,,,,[97],1003.0
5,,,,,,[113],1004.0
5,,,,,,[97],1005.0
5,,,,,,[12],1006.0
5,,,,,,[12],1007.0
5,,,,,,[97],1008.0
5,,,,,,[97],1009.0
5,,,,,,[12],1010.0
94,Campo sportivo parco giochi,,,,,[60],1011.0
5,,,,,,[12],
5,,,,,,[12],1013.0
5,,,,,,[60],1014.0
5,,,,,,"[65, 12, 60]",1015.0
5,,,,,,[97],1016.0
5,,,,,,"[65, 60]",1017.0
5,,,,,,[110],1017.0
5,,,,,,[97],1018.0
5,,,,,,[12],1019.0
5,,,,,,[110],1020.0
5,,,,,,[60],1021.0
5,,,,,,[60],1022.0
5,,,,,,[120],1021.0
5,,,,,,[12],1021.0
95,Skate park,,,,,"[112, 17]",
5,,,,,,[12],807.0
96,Campo sportivo di Varena,,,,,[12],1024.0
5,,,,,,[12],860.0
5,,,,,,[97],1025.0
5,,,,,,[12],1026.0
63,Campo da tennis,,,,,[97],1027.0
5,,,,,,[97],1028.0
5,,,,,,[12],1029.0
5,,,,,,[12],1030.0
5,,,,,,[97],1031.0
97,Padel Club Cavalese,,,,,[110],1032.0
8,Bocciodromo,,,,,[110],1033.0
5,,,,,,[121],1034.0
5,,,,,,[12],1035.0
5,,,,,,[12],1036.0
5,,,,,,[12],1037.0
5,,,,,,[75],1038.0
5,,,,,,[12],
5,,,,,,[12],1040.0
5,,,,,,[97],600.0
5,,,,,,[65],1041.0
5,,,,,,[60],1042.0
5,,,,,,[65],1043.0
5,,,,,,[60],1043.0
5,,,,,,[97],1044.0
5,,,,,,[97],1044.0
5,,,,,,[97],1045.0
5,,,,,,[97],1045.0
5,,,,,,[118],881.0
5,,,,,,[97],1046.0
5,,,,,,[97],1047.0
98,AcquaIN,,+39 0461 589 850,info@acquain.it,http://www.acquain.it,[58],1048.0
5,,,,,,[60],1049.0
5,,,,,,[97],1050.0
5,,,,,,[12],
5,,,,,,[12],1052.0
5,,,,,,[12],1053.0
99,Campo da Basket - Comune di Soraga,,,,,[60],1054.0
100,Campo da Calcio - Comune di Soraga,,,,,[12],1055.0
5,,,,,,[12],1056.0
63,Campo da tennis,,,,,[97],1057.0
5,,,,,,[60],1058.0
5,,,,,,[97],1059.0
5,,,,,,[12],1060.0
5,,,,,,[118],1061.0
5,,,,,,[110],923.0
5,,,,,,[120],1062.0
67,Campo sportivo,,,,,[60],1063.0
101,campo sintetico,,,,,[12],1064.0
5,,,,,,[97],1065.0
5,,,,,,[120],1066.0
5,,,,,,[12],1066.0
5,,,,,,[97],1067.0
5,,,,,,[12],1067.0
5,,,,,,[97],1067.0
5,,,,,,[97],1066.0
5,,,,,,[12],1066.0
5,,,,,,[97],1068.0
5,,,,,,[65],
5,,,,,,[60],1070.0
5,,,,,,[110],957.0
5,,,,,,[12],1071.0
5,,,,,,[97],1072.0
5,,,,,,[12],1073.0
5,,,,,,[60],1073.0
5,,,,,,[65],1073.0
5,,,,,,[60],1074.0
5,,,,,,[12],1075.0
5,,,,,,[65],1075.0
5,,,,,,[97],1076.0
5,,,,,,[97],1077.0
5,,,,,,[12],1078.0
5,,,,,,[97],1079.0
5,,,,,,[97],1080.0
5,,,,,,[12],1080.0
5,,,,,,[12],1081.0
5,,,,,,[12],1082.0
5,,,,,,[12],1083.0
5,,,,,,[12],1084.0
5,,,,,,[12],1084.0
5,,,,,,[97],1084.0
5,,,,,,[97],1084.0
5,,,,,,[97],1085.0
5,,,,,,[97],1085.0
5,,,,,,[97],1086.0
5,,,,,,[110],1087.0
5,,,,,,[65],1016.0
5,,,,,,[65],1016.0
5,,,,,,[60],1088.0
5,,,,,,[120],1089.0
5,,,,,,[12],1090.0
102,Sacra Famiglia,,,,,[60],1091.0
102,Sacra Famiglia,,,,,[12],1092.0
5,,,,,,[12],1093.0
103,Skate Park Rovereto,,,,,[112],1094.0
5,,,,,,[126],1095.0
5,,,,,,[12],1096.0
5,,,,,,[12],1097.0
5,,,,,,[97],1098.0
5,,,,,,[12],1044.0
5,,,,,,[60],1099.0
104,Prà dal Tor (campo da calcetto su erba),,,,,[12],1100.0
5,,,,,,[97],862.0
5,,,,,,[65],1101.0
5,,,,,,[12],1102.0
5,,,,,,[97],1103.0
5,,,,,,[97],1104.0
5,,,,,,[97],1105.0
5,,,,,,[97],1106.0
5,,,,,,[97],1106.0
5,,,,,,[97],1106.0
105,centrale,,,,,[97],1107.0
5,,,,,,[12],1108.0
106,Maso del Sole - maneggio,,,,,[109],1109.0
5,,,,,,[12],1110.0
5,,,,,,[97],1111.0
5,,,,,,[97],1112.0
5,,,,,,[12],
5,,,,,,[12],1114.0
5,,,,,,[97],1115.0
5,,,,,,[97],1116.0
5,,,,,,[12],1117.0
5,,,,,,[97],1118.0
5,,,,,,[12],764.0
5,,,,,,[65],701.0
5,,,,,,[12],1009.0
5,,,,,,[131],1119.0
5,,,,,,[12],1120.0
5,,,,,,[12],1120.0
5,,,,,,[97],1120.0
5,,,,,,[97],1121.0
5,,,,,,[97],1122.0
5,,,,,,[12],1123.0
5,,,,,,[12],1124.0
5,,,,,,[12],709.0
5,,,,,,[97],1125.0
5,,,,,,[12],1126.0
5,,,,,,[97],1127.0
5,,,,,,[60],1128.0
5,,,,,,[65],633.0
5,,,,,,[97],1129.0
5,,,,,,[12],1129.0
107,Sanba Basketball outdoor court,,,,https://www.operauni.tn.it/cms-01.00/articolo.asp?IDcms=2978&s=122&l=,[60],1130.0
5,,,,,,[12],1131.0
5,,,,,,[60],1132.0
5,,,,,,[12],1132.0
5,,,,,,[60],633.0
5,,,,,,[12],633.0
5,,,,,,[12],928.0
5,,,,,,[60],1133.0
108,campetto,,,,,[12],1134.0
5,,,,,,[12],1135.0
5,,,,,,[97],1136.0
5,,,,,,[12],1137.0
5,,,,,,[12],1138.0
5,,,,,,[12],1139.0
5,,,,,,[12],1140.0
5,,,,,,[12],1140.0
5,,,,,,[12],1141.0
5,,,,,,[12],1142.0
5,,,,,,[12],775.0
5,,,,,,[121],775.0
5,,,,,,[97],1143.0
5,,,,,,[121],1143.0
5,,,,,,[97],1144.0
5,,,,,,[97],1145.0
5,,,,,,[12],1146.0
5,,,,,,[12],1147.0
5,,,,,,[12],987.0
109,Cortile Grumes,,,,,[65],1148.0
5,,,,,,[12],1149.0
5,,,,,,[12],1150.0
5,,,,,,[60],999.0
5,,,,,,[97],954.0
5,,,,,,[12],1151.0
5,,,,,,[12],1152.0
5,,,,,,[120],1153.0
5,,,,,,[120],1153.0
5,,,,,,[60],614.0
5,,,,,,[12],614.0
5,,,,,,[60],614.0
5,,,,,,[65],614.0
5,,,,,,[121],783.0
5,,,,,,[97],1154.0
5,,,,,,[97],1155.0
5,,,,,,[97],1154.0
5,,,,,,[12],951.0
5,,,,,,[12],1155.0
5,,,,,,[12],1156.0
5,,,,,,[12],1157.0
5,,,,,,[97],1155.0
5,,,,,,[97],1155.0
5,,,,,,[65],1158.0
5,,,,,,[12],1158.0
5,,,,,,[97],1155.0
5,,,,,,[12],873.0
5,,,,,,[12],
5,,,,,,"[60, 65]",
5,,,,,,[12],
5,,,,,,[12],1160.0
5,,,,,,[97],1686.0
5,,,,,,[12],1162.0
5,,,,,,[97],1162.0
5,,,,,,[97],1163.0
5,,,,,,[97],1164.0
5,,,,,,[120],1165.0
5,,,,,,[65],1166.0
5,,,,,,[12],1167.0
110,Area Verde,,,,,[12],1168.0
5,,,,,,[97],1169.0
5,,,,,,[60],1170.0
5,,,,,,[60],1170.0
5,,,,,,[65],1171.0
5,,,,,,[12],1171.0
5,,,,,,[97],1172.0
5,,,,,,[12],1173.0
5,,,,,,[12],
5,,,,,,[12],
5,,,,,,[97],
5,,,,,,[4],
5,,,,,,[97],1175.0
5,,,,,,[12],862.0
5,,,,,,[97],1176.0
5,,,,,,[60],1177.0
5,,,,,,[12],1177.0
5,,,,,,[97],1178.0
5,,,,,,[60],1044.0
5,,,,,,[12],1179.0
5,,,,,,[65],1180.0
5,,,,,,[12],1180.0
5,,,,,,[97],1181.0
5,,,,,,[12],1182.0
5,,,,,,[97],1183.0
5,,,,,,[12],1184.0
111,A.S.D. Comano Terme Fiavè,,+39 3389597329,,https://www.comanotermefiave.it/,[12],1185.0
5,,,,,,[12],1186.0
5,,,,,,[12],1187.0
5,,,,,,[12],1188.0
5,,,,,,[12],593.0
5,,,,,,[12],1189.0
5,,,,,,[12],1190.0
5,,,,,,"[12, 60, 65]",1191.0
5,,,,,,[120],
5,,,,,,[109],914.0
5,,,,,,[65],1192.0
5,,,,,,[12],
5,,,,,,[97],1194.0
5,,,,,,[12],1195.0
5,,,,,,[12],1196.0
5,,,,,,[98],1197.0
5,,,,,,[110],1197.0
112,Poligono di tiro di Strigno,,,,,[133],1198.0
5,,,,,,[12],1199.0
5,,,,,,"[97, 12]",1200.0
5,,,,,,[118],1200.0
113,Stadio Comunale Città di Arco,,,,,[12],
5,,,,,,[97],1201.0
5,,,,,,[12],902.0
5,,,,,,[97],1202.0
51,Tennis,,,,,[97],1203.0
5,,,,,,[122],1052.0
5,,,,,,[122],1204.0
5,,,,,,[12],1205.0
5,,,,,,[12],1205.0
5,,,,,,[109],1206.0
5,,,,,,[12],1207.0
5,,,,,,[12],1208.0
5,,,,,,[97],1209.0
5,,,,,,[12],878.0
5,,,,,,[12],1210.0
5,,,,,,[12],1211.0
5,,,,,,[12],1212.0
5,,,,,,[12],1211.0
5,,,,,,[12],
5,,,,,,"[12, 60]",1214.0
5,,,,,,[60],1215.0
5,,,,,,[12],1216.0
5,,,,,,[12],1217.0
73,Campo di Tamburello,,,,,[121],1218.0
5,,,,,,[97],1219.0
5,,,,,,[12],1220.0
5,,,,,,[97],1221.0
114,Stadio del ghiaccio Gianmario Scola,,,,,[40],1222.0
5,,,,,,[121],1029.0
5,,,,,,[12],1072.0
5,,,,,,[97],751.0
5,,,,,,[12],1223.0
5,,,,,,[112],1073.0
5,,,,,,[12],1224.0
5,,,,,,[97],1470.0
