Titolo,Titolo breve,Immagine,Descrizione,Locandina dell'evento,Inizio,Termine,Durata,Quando,Dove,Informazioni,Destinatari,Costi,Stato,Materia,Circoscrizione,Argomento,Tipologia evento,Manifestazione cui fa parte,Associazione,Progressivo,Sottotitolo,Orario,Posizione geografica,Fonte
"Mostra ""Loving Depero"" di Luciana Zecchini e Paolo Frizzera in biblioteca",,var/mezzocorona/storage/images/turismo/calendario-eventi/mostra-loving-depero-di-luciana-zecchini-e-paolo-frizzera-in-biblioteca/423509-1-ita-IT/Mostra-Loving-Depero-di-Luciana-Zecchini-e-Paolo-Frizzera-in-biblioteca.jpg|,"A seguito del successo della mostra proposta durante il Settembre Rotaliano 2023 si propone al piano terra della biblioteca una piccola mostra d’arte con arazzi e opere in stile Depero. La mostra è visitabile in orario d’apertura al piano terra della biblioteca.  &nbsp,    &nbsp,Paolo Frizzera (@paul_frizzers)&nbsp,    Luciana Zecchini&nbsp,  &nbsp,",,22/03/2024,03/05/2024,,,,,,,,,,,Evento singolo,,,,,,,
I mercoledì della Farmacia Zanini: sentire bene per sentirsi bene,,var/mezzocorona/storage/images/turismo/calendario-eventi/i-mercoledi-della-farmacia-zanini-sentire-bene-per-sentirsi-bene/423534-1-ita-IT/I-mercoledi-della-Farmacia-Zanini-sentire-bene-per-sentirsi-bene.jpg|,"I mercoledì della Farmacia Zanini: sentire bene per sentirsi beneconferenza sulle piccole patologie dell'orecchio a cura di Alessandro Laboria, ottorino3 aprile ore 20.30Mezzocorona via Roana 2/AIngresso libero",,03/04/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"""Che spettacolo questo giardino!"" a cura dei genitori della scuola materna",,var/mezzocorona/storage/images/turismo/calendario-eventi/che-spettacolo-questo-giardino!-a-cura-dei-genitori-della-scuola-materna/423559-1-ita-IT/Che-spettacolo-questo-giardino!-a-cura-dei-genitori-della-scuola-materna.jpg|,"&quot,Che spettacolo questo giardino!&quot, a cura dei genitori della scuola maternasabato 13.4.24 h. 16.00 ed h.20.30 (replica)Ingresso a offerta libera",,13/04/2024,13/04/2024,,,,,,,,,,,Evento singolo,,,,,,,
Fiera di San Gottardo il 14 aprile,,var/mezzocorona/storage/images/turismo/calendario-eventi/fiera-di-san-gottardo-il-14-aprile/424745-2-ita-IT/Fiera-di-San-Gottardo-il-14-aprile.png|,"Si informa che&nbsp,DOMENICA 14 APRILEavrà luogo la tradizionale “fiera di San Gottardo”. Le bancarelle saranno disposte sulle vie e piazze del centro e precisamente:&nbsp,Via Dante - Piazza della Chiesa - Piazza San Gottardo - Via Romana - Via San Giovanni Bosco - Via 4 Novembre.&nbsp,In Piazza della Chiesa sarà presente il VASO DELLA FORTUNA, organizzato dall’Associazione Oratorio di Mezzocorona.",,14/04/2024,14/04/2024,,,,,,,,,,,Evento singolo,,,,,,,
Suoni antichi riscoperti a Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/suoni-antichi-riscoperti-a-mezzocorona2/424830-1-ita-IT/Suoni-antichi-riscoperti-a-Mezzocorona.jpg|,"Suoni antichi riscoperti a Mezzocorona il 14 aprile 2024 h. 20.00 presso la chiesa parrocchiale di Mezzocorona concerto&nbsp, di Ai Yoshida (organo) e Paolo Trettel (tromba).",,09/04/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Fiabe e denaro in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/fiabe-e-denaro-in-biblioteca/424966-1-ita-IT/Fiabe-e-denaro-in-biblioteca.jpg|,"Il laboratorio prevede l’utilizzo di fiabe che, attraverso la creatività della scrittura e un linguaggio adatto ai bambini, propongono una riflessione sul tema del risparmio e dell’uso responsabile del denaro. La lettura delle fiabe è corredata da schede con giochi e attività che verranno svolti nella seconda parte del laboratorio.L'attività è offerta da Fondazione Caritro e proposta da SBT Sistema bibliotecario trentino.",www.comune.mezzocorona.tn.it/content/download/46029/424968/LOCANDINA.pdf,23/04/2024,23/04/2024,,,,,,,,,,,Evento singolo,,,,,,,
Mercoledì della farmacia Zanini: Vita sana in casa sana,,var/mezzocorona/storage/images/turismo/calendario-eventi/mercoledi-della-farmacia-zanini-vita-sana-in-casa-sana/425915-1-ita-IT/Mercoledi-della-farmacia-Zanini-Vita-sana-in-casa-sana.jpg|,Mercoledì della farmacia Zanini: Vita sana in casa sanaintervengono Claudio Pichler e Bruno Postalmercoledì 8 maggio ore 20.30 presso la sede di Via Romana 2/a,,08/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Sorprese a 4 mani per la mamma iniziativa della biblioteca per bambini/e,,var/mezzocorona/storage/images/turismo/calendario-eventi/sorprese-a-4-mani-per-la-mamma-iniziativa-della-biblioteca-per-bambini-e/425970-1-ita-IT/Sorprese-a-4-mani-per-la-mamma-iniziativa-della-biblioteca-per-bambini-e.jpg|,"La biblioteca di Mezzocorona proponeGIOVEDI’ 9 MAGGIO 2024 H. 16.30-17.30SORPRESE A QUATTRO MANI (PER LA MAMMA)&nbsp,Letture e laboratorio creativo per coppie di bambino/a più adulto&nbsp,IN BIMBOTECA A MEZZOCORONA&nbsp,&nbsp,La biblioteca invita i bimbi e le bimbe dai 3 ai 7 anni in bimboteca ad ascoltare divertenti storie della casa editrice Minibombo e a realizzare un lavoretto a sorpresa per la mamma insieme al papà o a qualche altro accompagnatore speciale.&nbsp,Iscrizioni aperte.&nbsp,Illustrazione da “Non aver paura piccolo granchio” di Chris Haugton-ed. Lapis",,09/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Incontro con l'autrice Monica Finardi,,var/mezzocorona/storage/images/turismo/calendario-eventi/incontro-con-l-autrice-monica-finardi/425995-1-ita-IT/Incontro-con-l-autrice-Monica-Finardi.jpg|,"VENERDI’ 3 MAGGIO H. 20.00Monica Finardi presenta il libro“LA VIA DELLA GUARIGIONE”IN BIBLIOTECA A MEZZOCORONA&nbsp,&nbsp,Nel libro “La via della guarigione: per diventare alchimisti delle proprie vite” di Anima edizioni, l'autrice (di Mezzocorona) si racconta con l'aiuto dei maestri dell'Akasha. Ogni capitolo inizia con un messaggio che diventa uno spunto di riflessione per chiunque legga e prosegue con la storia raccontata in prima persona, partendo dal 2014 con la diagnosi di cancro al seno.&nbsp,“Tutto è opportunità, anche la malattia se impariamo ad ascoltare il nostro corpo e i messaggi che l’universo ci dona mostrandoci la via per diventare alchimisti delle proprie vite” Monica&nbsp,L’iniziativa è organizzata in collaborazione con l’assessorato alla salute del Comune di Mezzocorona.",,03/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Due storie da conoscere: La Samatec e la bretella Sepi 2,,var/mezzocorona/storage/images/turismo/calendario-eventi/due-storie-da-conoscere-la-samatec-e-la-bretella-sepi-2/428129-2-ita-IT/Due-storie-da-conoscere-La-Samatec-e-la-bretella-Sepi-2.png|,"Una serata per conoscere due storie di impegno civile in biblioteca&nbsp,Due storie da conoscere: la Samatec e la bretella SEPI 2a cura di Gabriella Zanini e Roberto Devigiliinterverrà Rodolfo Taiani del Museo storico del Trentino22.5.2024 h. 20.30 auditorium cassa di Trento a MezzocoronaIn collaborazione con l'assessorato alla salute e alle attività sociali del Comune di Mezzocorona.",,22/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Incontro con l'autrice Lucia Brunialti per la presentazione del libro ""10 pomodorini al giorno""",,var/mezzocorona/storage/images/turismo/calendario-eventi/incontro-con-l-autrice-lucia-brunialti-per-la-presentazione-del-libro-10-pomodorini-al-giorno/428847-1-ita-IT/Incontro-con-l-autrice-Lucia-Brunialti-per-la-presentazione-del-libro-10-pomodorini-al-giorno.jpg|,"VENERDI’ 24 MAGGIO H. 20.30Lucia Brunialti presenta il libro“10 POMODORINI AL GIORNO”IN BIBLIOTECA A MEZZOCORONA&nbsp,&nbsp,Lucia Brunialti è una bibliotecaria, autrice del libro autobiografico “10 pomodorini al giorno: come la musica mi ha salvato la vita”. La sua storia è un viaggio toccante attraverso un disturbo alimentare, una vera e propria sfida che Lucia ha trovato la forza di vincere grazie alla musica e al suo straordinario talento.L’iniziativa è organizzata in collaborazione con l’assessorato alla salute del Comune di Mezzocorona.",,24/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Presentazione del libro della scuola media di Mezzocorona ""Paesaggi minerari""",,var/mezzocorona/storage/images/turismo/calendario-eventi/presentazione-del-libro-della-scuola-media-di-mezzocorona-paesaggi-minerari/428872-1-ita-IT/Presentazione-del-libro-della-scuola-media-di-Mezzocorona-Paesaggi-minerari.jpg|,"Presentazione del libro della scuola media di Mezzocorona &quot,Paesaggi minerari&quot,, scuola viva 4giovedì 23.5.24 h. 20.00 in biblioteca sala mansardaper il programma si veda l'allegata locandina.",,23/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Pro Loco Mezzocorona: Mostra del Teroldego Rotaliano 17 - 18 - 19 maggio ,,var/mezzocorona/storage/images/turismo/calendario-eventi/pro-loco-mezzocorona-mostra-del-teroldego-rotaliano-17-18-19-maggio/428897-1-ita-IT/Pro-Loco-Mezzocorona-Mostra-del-Teroldego-Rotaliano-17-18-19-maggio.jpg|,"Mostra del Teroldego Rotaliano17 - 18 - 19 maggio&nbsp,La&nbsp,Mostra del Teroldego Rotaliano&nbsp,è un percorso di degustazione allestito nelle prestigiose sale e negli ambienti esterni di&nbsp,Palazzo Conti Martini&nbsp,a&nbsp,Mezzocorona, che&nbsp,presenta un itinerario tra etichette locali,&nbsp,rappresentando un’occasione unica ed irripetibile per poter degustare la totalità della produzione di&nbsp,Teroldego Rotaliano D.O.C.Un evento degno della&nbsp,prima DOC varietale, che riunisce amanti del vino&nbsp,e addetti ai lavori per assaggiare le molte interpretazioni dell’autoctono rosso trentino. In programma&nbsp,masterclass&nbsp,e&nbsp,degustazioni, ma anche occasioni per conoscere il territorio e le sue specialità gastronomiche.&nbsp,Venerdì 17 maggioOre 17.30DEGUSTAZIONE/MASTERCLASS“Annate a confronto, 2011-2021, evoluzione o rivoluzione?”Conduce: Roberto Anesi&nbsp,Quota di partecipazione: € 25 (15€ Assoenologi)&nbsp,- pagamento in locoInfo e prenotazioni: Tel. 0461 1752525 -&nbsp,info@pianarotaliana.it&nbsp,Ore 18.00Inaugurazione 33a edizione della Mostra&nbsp,Ore 19.30 - 24.00WINE&amp,MUSIC A PALAZZOWINE BAR a cura di AIS: in degustazione oltre 30 etichette di Teroldego Rotaliano in abbinamento ai finger food del Ristorante Tre Cime e angolo Cocktail by GianlucaLIVE MUSIC con il Duo GlovesIngresso libero: possibilità di acquistare la singola degustazione in loco&nbsp,Sabato 18 maggioOre 14.00 - 15.30DEGUSTAZIONE/MASTERCLASSa cura di Teroldego EvolutionI diversi affinamenti del Teroldego: dal legno, al cemento, all’acciaio, alla ceramica, all’anforaQuota di partecipazione: € 25&nbsp,(15€ Assoenologi) - pagamento in locoInfo e prenotazioni: tel. 0461 1752525 -&nbsp,info@pianarotaliana.it&nbsp,Ore 16.00 - 19.00ANTEPRIMA TEROLDEGO ROTALIANO 2023Banchi d’assaggio con i produttori che presenteranno le prove di botte dell’ultima annata incantinataQuota di partecipazione: € 20 (Sommellerie e Assoenologi 10€)&nbsp,19.00 - 24.00WINE&amp,MUSIC A PALAZZOWINE BAR a cura di AIS: in degustazione oltre 30 etichette di Teroldego Rotaliano in abbinamento ai finger food dell’Hotel Caffè Centrale e angolo Cocktail by GianlucaLIVE MUSIC con Ina ProssIngresso libero: possibilità di acquistare la singola degustazione in loco&nbsp,Domenica 19 maggioOre 9.30 / 10.30 / 11.30VISITE A PALAZZOVisite guidate da Margherita Faes alle sale di Palazzo MartiniInfo e prenotazioni: Tel. 0461 1752525,&nbsp,info@pianarotaliana.it&nbsp,Ore 10.30 - 12.00DEGUSTAZIONE/MASTERCLASS ONAVTeroldego Vino Principe della Piana RotalianaDegustazione guidata secondo ONAV di 3 Teroldego rosato, 3 Teroldego classico, 3 Teroldego da surmaturazione (appassimento delle uve)Quota partecipazione: € 30 - pagamento in locoInfo e prenotazioni:&nbsp,luca.miorandi@gmail.comP=ossOre 12.00 - 15.00TEROLDEGO&amp,SAPORI A PALAZZOPranzo tipico con tortel di patate + 32 etichette di teroldego Rotaliano tra cui sceglierePossibilità di varianti per vegetariani, intolleranti al lattosio e celiaciNon serve prenotazione&nbsp,Organizza la Pro Loco di Mezzocorona",,17/05/2024,19/05/2024,,,,,,,,,,,Evento singolo,,,,,,,
Escursione a monte Maggio organizzata dalla SAT sezione di Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/escursione-a-monte-maggio-organizzata-dalla-sat-sezione-di-mezzocorona/428922-1-ita-IT/Escursione-a-monte-Maggio-organizzata-dalla-SAT-sezione-di-Mezzocorona.jpg|,"Escursione a monte Maggio molto interessante sia sotto l’aspetto paesaggistico che sotto quello storico. L’itinerario ricalca infatti il percorso di camminamenti e mulattiere della Prima Guerra Mondiale che si insinuavano fra le pieghe della montagna fra Serrada e il Monte Maggio. Emozionante il passaggio nella Forra del Lupo, trincea austroungarica ripristinata dal lavoro dei volontari della SAT di Rovereto e degli Alpini di Serrada e Terragnolo, che offre spettacolari vedute sulla valle di Terragnolo, il Passo della Borcola ed il Massiccio del Pasubio.data dell'escursione: 26.5.24Per info seguire il linksatmezzocorona.it",,26/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Costruiamo un Bee Lapbook alla scoperta delle api in biblioteca (Agrifamily),,var/mezzocorona/storage/images/turismo/calendario-eventi/costruiamo-un-bee-lapbook-alla-scoperta-delle-api-in-biblioteca-agrifamily/429356-1-ita-IT/Costruiamo-un-Bee-Lapbook-alla-scoperta-delle-api-in-biblioteca-Agrifamily.jpg|,"La biblioteca nell'ambito della festa delle famiglie Agrifamily propone il laboratorio&nbsp,BEE – LAPBOOK: alla scoperta della api&nbsp,Laboratorio didattico per bambini dai 5 ai 10 anni&nbsp,in Bimboteca il 30.5.2024 h. 16.15-17.45 Per info ed iscrizioni Biblioteca di Mezzocorona (via Baron Cristani 1) 38106 Mezzocorona&nbsp, Tel 0461 608182/83 biblioteca@comune.mezzocorona.tn.it",,17/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Concerto all'alba sul Monte: POSTI ESAURITI ,,var/mezzocorona/storage/images/turismo/calendario-eventi/concerto-all-alba-sul-monte-posti-esauriti/430243-1-ita-IT/Concerto-all-alba-sul-Monte-POSTI-ESAURITI.jpg|,"IL&nbsp, COMUNE DI MEZZOCORONA PROPONE L'EVENTO:DOMENICA 2 GIUGNO 2024 ore 5.00 a.m.GOD SAVE THE QUEEN70 anni di rock sotto il regno di Elisabetta II&nbsp,CONCERTO ALL’ALBA DEL GRUPPO CARONTE - MONTE DI MEZZOCORONA -c/o SKYWALKPIRTROPPO IN DATA 30.5.2024 SONO ESAURITI I POSTI&nbsp,&nbsp,&nbsp,Il Comune di Mezzocorona vi invita allo spazio dello Skywalk sul Monte in occasione di un concerto all’alba per violino, violoncello, arpa e pianoforte: trattasi di un suggestivo percorso musicale che si snoda fra brani di Donegan, Cliff Richard, Beatles, Cat Stevens, Elton John, Bowie ed altri.Il concerto è gratuito e per quest’occasione la FuniviaMonte di Mezzocorona include nel prezzo del biglietto di a/r una colazione al Monte servita presso lo Skywalk.La funivia è attiva dalle ore 4.00 alle ore 5.30 e dalle ore 7.30 in poi.Per questioni organizzative si raccomanda la prenotazione in Biblioteca a Mezzocorona (tel. 0461 608182, e: biblioteca@comune.mezzocorona.tn.it) entro il 31 maggio 2024 ore 19.00.&nbsp,In caso di pioggia l’evento si svolge presso Albergo Tre Cime sul Monte alla stessa ora. &nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, &nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp, &nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,",,02/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Un lapbook alla scoperta dell'ape in biblioteca per Agrifamily,,var/mezzocorona/storage/images/turismo/calendario-eventi/un-lapbook-alla-scoperta-dell-ape-in-biblioteca-per-agrifamily/430279-1-ita-IT/Un-lapbook-alla-scoperta-dell-ape-in-biblioteca-per-Agrifamily.jpg|,"La biblioteca propone&nbsp,GIOVEDì 30 MAGGIO ore 16.15-17.45BEE LAPBOOK&nbsp, ALLA SCOPERTA DELLE APIIN BIMBOTECA &nbsp,&nbsp,La biblioteca di Mezzocorona nell’ambito delle iniziative di Agrifamily 2024 propone un laboratorio didattico per bambini dai 5 ai 10 anni alla scoperta del mondo delle api.Sono previste letture a tema e laboratorio creativo per la costruzione di un lapbook che ogni partecipante potrà portarsi a casa (cfr. immagine).L’iniziativa è gratuita ma per questioni organizzative a raccomandata la prenotazione in biblioteca a Mezzocorona (telefonica o via email).",www.comune.mezzocorona.tn.it/content/download/46595/430281/agrifamily 24        - al METS.png,30/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Storie da conivivivere con ACAT in biblioteca,,var/mezzocorona/storage/images/turismo/calendario-eventi/storie-da-conivivivere-con-acat-in-biblioteca/430304-1-ita-IT/Storie-da-conivivivere-con-ACAT-in-biblioteca.jpg|,"La sezione ACAT Paganella-Val di Cembra-Rotaliana presenta:STORIE DA CONDIVIVERE: STORIE DI RINASCITA E DI CAMBIAMENTO CHE CI INSEGNANO LA FORZA DELLA CONDIVISIONEBIBLIOTECA DI MEZZOCORONA, SALA MANSARDAVenerdì 31 maggio 2024 h. 20.15&nbsp,&nbsp,&nbsp,Vi invitiamo ad una serata di testimonianze, conoscenza e dialogo promossa dall’ACAT insieme ad altre associazione e realtà che si occupano di salute e di benessere sul nostro territorio.&nbsp,Interverrà Donato Giovannini, Presidente della Sezione ACAT Paganella-Cembra-Rotaliana.L’ iniziativa è proposta in collaborazione con l’assessorato alle attività sociali del Comune di Mezzocorona.",,31/05/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Sempre sia Rodato con Alessandro Bergonzoni-Solstizio d'Estate,,var/mezzocorona/storage/images/turismo/calendario-eventi/sempre-sia-rodato-con-alessandro-bergonzoni-solstizio-d-estate/430335-1-ita-IT/Sempre-sia-Rodato-con-Alessandro-Bergonzoni-Solstizio-d-Estate.jpg|,"Il primo spettacolo del Festival Solstizio d'Estate a Mezzocorona si svolge in data 4.6.2024 alle ore 21.30.Trattasi di &quot,Sempre sia Rodato&quot, teatro comico d'attore di Alessandro Bergonzoni.La descrizione dello spettacolo, la modalità di prenotazione e tutto quello che di speciale si può fare sul territorio quella sera sono descritti al seguente link:https://www.solstiziodestate.it/sempre-sia-rodato-20-prove-aperte-al-chiuso-o-viceversa/",,04/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Palazzi Aperti a Mezzocorona,,var/mezzocorona/storage/images/turismo/calendario-eventi/palazzi-aperti-a-mezzocorona4/430917-1-ita-IT/Palazzi-Aperti-a-Mezzocorona.jpg|,"La biblioteca proponeVENERDI’ 7 GIUGNO 2024PALAZZI APERTI A MEZZORONA: VISITE GUIDATE A PALAZZO MARTINI E A PALAZZO FIRMIANOre 15.30-16.15: Visita guidata a Palazzo Martini, sede di rappresentanza della Cassa di Trento (via Dante 4 Mezzocorona), nobiliare villa secentesca con arredi e pitture del XVII e XVIII secolo, stube con boiserie decorate e pregiate stufe in maiolica della manifattura di Sfruz.Ore 17.00-17.45: Visita guidata al settecentesco Palazzo Firmian, prestigiosa sede del Comune di Mezzocorona (piazza Chiesa, 1 Mezzocorona), con affreschi di Paul Troger (1698-1762) e stube con boiserie decorata e stufe in maiolica.Le visite sono gratuite e curate dalle bibliotecarie. E’ raccomandata la prenotazione in biblioteca essendo le visite a numero chiuso.",,07/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Civil week dell'istituto comprensivo,,var/mezzocorona/storage/images/turismo/calendario-eventi/civil-week-dell-istituto-comprensivo/430978-1-ita-IT/Civil-week-dell-istituto-comprensivo.jpg|,"Nei giorni 5, 6, e 7 giugno 2024 l'istituto comprensivo di Mezzocorona propone il civil week, un week end di educazione alla cittadinanza che propone moltepeici attività fuori e dentro la mura delle scuole.Inaugurazione:PIAZZA DELLA CHIESA - MEZZOCORONA h. 9.",,05/06/2024,07/06/2024,,,,,,,,,,,Evento singolo,,,,,,,
Incontro con Umberto Galimberti,,var/mezzocorona/storage/images/turismo/calendario-eventi/incontro-con-umberto-galimberti/431003-1-ita-IT/Incontro-con-Umberto-Galimberti.png|,Nell'ambito del civil week l'istituto comprensivo di Mezzocorona organizza l'incontro con Umberto Galimberti il 6.6.24 h. 18 presso Auditorium della Cassa di Trento a Mezzocorona.,,06/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
Solstizio d'Estate: concerto Giancane Live,,var/mezzocorona/storage/images/turismo/calendario-eventi/solstizio-d-estate-concerto-giancane-live/431132-1-ita-IT/Solstizio-d-Estate-concerto-Giancane-Live.jpg|,"Concerto&nbsp,Giancane&nbsp,liveil 13 giugno al PalaRotari è il momento del “concertone” di Solstizio: live a 10 anni dall’uscita di “Carne” l'universo musicale di GIANCANE, alias Giancarlo Barbati. Con uno spettacolo dall'anima punk, sia nella sostanza che nella forma, nel suo ultimo tour Giancane riporta la “Carne”, quella del disco andato in stampa dieci anni fa, ma quanto mai attuale. Non solo una raccolta di brani che navigano attraverso anni di vita, ma anche un dialogo aperto e ironico con il pubblico, spezzato da battute improvvisate e siparietti che ricordano la grande tradizione degli Skiantos e degli Elii: dove l’ironia incontra la musica c’è il posto di Giancane.E anche il tuo, riservalo qui: https://lc.cx/qsLQ52   Anfiteatro Palarotari, Mezzocorona Giovedì, 13 giugno 21.30Prima dello spettacolo, a partire dalle ore 20.00, visita alla Cantina Rotari#SolstizioXXXIII",,13/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Solstizio d'Estate: STAI ZITTA!"", spettacolo teatrale tratto dal libro di Michela Murgia.",,var/mezzocorona/storage/images/turismo/calendario-eventi/solstizio-d-estate-stai-zitta!-spettacolo-teatrale-tratto-dal-libro-di-michela-murgia/431157-1-ita-IT/Solstizio-d-Estate-STAI-ZITTA!-spettacolo-teatrale-tratto-dal-libro-di-Michela-Murgia.jpg|,"Le ragazze si sono arrabbiate: nel panorama contemporaneo, &quot,STAI ZITTA!&quot,, spettacolo teatrale tratto dal libro di Michela Murgia, è un faro di resistenza contro il tentativo di ammutolire la voce femminile. In scena a Mezzocorona il 14 giugno Antonella Questa, Valentina Melis e Teresa Cinque guidate dalla regia di Marta Dalla Via, portavoce di una ribellione contro le discriminazioni di genere, sull'onda dell'ironia e della dissacrazione per sfidare i luoghi comuni e le ingiustizie radicate nel linguaggio e oltre.Personaggi e situazioni che oscillano tra il surreale e il troppo reale, il mansplaining l'uso riduttivo del nome proprio per le donne, la celebrazione stereotipata della donna come &quot,mamma e moglie di&quot,, da smontare con acume e spirito critico.&quot,STAI ZITTA!&quot, è un manifesto comico e profondo per tutte quelle che zitte non ci voglio stare proprio più Fatevi sentire in platea: https://lc.cx/zE2-jk  Palazzo Martini, Mezzocorona Venerdì, 14 giugno 21.30Prima dello spettacolo, a partire dalle ore 19.30, apericena a cura di:Hotel Centrale MezzocoronaCantine rechof spumanti  eAzienda Agricola Zanini LuigiGelateria Fior Di Sole MITO International#SolstizioXXXIII",,14/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Solstizio d'Estate: Le ragazze si sono arrabbiate: nel panorama contemporaneo, ""STAI ZITTA!"", spettacolo teatrale tratto dal libro di Michela Murgia,.",,var/mezzocorona/storage/images/turismo/calendario-eventi/solstizio-d-estate-le-ragazze-si-sono-arrabbiate-nel-panorama-contemporaneo-stai-zitta!-spettacolo-teatrale-tratto-dal-libro-di-michela-murgia/431207-1-ita-IT/Solstizio-d-Estate-Le-ragazze-si-sono-arrabbiate-nel-panorama-contemporaneo-STAI-ZITTA!-spettacolo-teatrale-tratto-dal-libro-di-Michela-Murgia.jpg|,"Le ragazze si sono arrabbiate: nel panorama contemporaneo, &quot,STAI ZITTA!&quot,, spettacolo teatrale tratto dal libro di Michela Murgia, è un faro di resistenza contro il tentativo di ammutolire la voce femminile. In scena a Mezzocorona il 14 giugno Antonella Questa, Valentina Melis e Teresa Cinque guidate dalla regia di Marta Dalla Via, portavoce di una ribellione contro le discriminazioni di genere, sull'onda dell'ironia e della dissacrazione per sfidare i luoghi comuni e le ingiustizie radicate nel linguaggio e oltre. Personaggi e situazioni che oscillano tra il surreale e il troppo reale, il mansplaining l'uso riduttivo del nome proprio per le donne, la celebrazione stereotipata della donna come &quot,mamma e moglie di&quot,, da smontare con acume e spirito critico.&quot,STAI ZITTA!&quot, è un manifesto comico e profondo per tutte quelle che zitte non ci voglio stare proprio piùFatevi sentire in platea: https://lc.cx/zE2-jk  Palazzo Martini, Mezzocorona Venerdì, 14 giugno 21.30Prima dello spettacolo, a partire dalle ore 19.30, apericena a cura di:Hotel Centrale MezzocoronaCantine rechof spumanti e Azienda Agricola Zanini LuigiGelateria Fior Di Sole MITO International#SolstizioXXXIII",,14/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
"Solstizio d'Estate ""Vite Ribelli"" è la ribellione intellettuale della filosofia: chicca di teatro contemporaneo",,var/mezzocorona/storage/images/turismo/calendario-eventi/solstizio-d-estate-vite-ribelli-e-la-ribellione-intellettuale-della-filosofia-chicca-di-teatro-contemporaneo/431232-1-ita-IT/Solstizio-d-Estate-Vite-Ribelli-e-la-ribellione-intellettuale-della-filosofia-chicca-di-teatro-contemporaneo.jpg|,"“Vite Ribelli&quot, è la ribellione intellettuale della filosofia: chicca di teatro contemporaneo, lo spettacolo di Matteo Saudino, in arte e social #Barbasophia è una celebrazione del pensiero critico e dell'audacia intellettuale che non temono la ribalta. Il 16 giugno, nello splendido Palazzo Martini di Mezzocorona andranno in scena le gesta di cinque figure iconiche, da Ipazia a Socrate, per celebrare chi ha il coraggio di sfidare, di domandare e di vivere secondo principi di verità e libertà. Con Saudino, il palco diventa un'arena dove la filosofia incita gli spettatori a chiedersi che mondo desiderino costruire e abitare.C’è ancora spazio per la libertà, assaporala in prima fila: https://lc.cx/B9Vq_A  Palazzo Martini, Mezzocorona Domenica, 16 giugno 21.30Prima dello spettacolo, a partire dalle ore 19.30, apericena a cura di:Trote Astro e Filiera FerrariCantina Azienda Agricola Fontana GrazianoGelateria Fior Di Sole MITO International#SolstizioXXXIII",,16/06/2024,,,,,,,,,,,,Evento singolo,,,,,,,
