remoteId,published,modified,Titolo,Eventuale sottotitolo,Tipo di evento,Identificativo dell'evento,Date ed orari dell'evento,Descrizione breve,Argomenti,Descrizione completa,Galleria immagini,Video,Iniziativa di cui fa parte,Destinatari,Informazioni sui destinatari,Luogo dell'evento,lat,lon,address,Presenti all'evento,E' gratuito,Informazioni sui costi,Offerta,Locandina,Allegati,Punti di contatto,Contatti,Ulteriori informazioni,Organizzatori,Informazioni sugli organizzatori,Patrocinio,Sponsor,Persone o organizzazioni che hanno composto un'opera eseguita durante l’evento,Chi presenta,Servizio di traduzione curato da,Lingue usate all'evento,Numero massimo di posti,Tempo di lettura,Parole chiave,Valutazione dell'evento,Appuntamenti,Recensione,Indicato per
2ac800a7ab2feb8be4c4703649eafa38,2024-03-14T17:02:33+01:00,2024-03-16T09:20:01+01:00,Casa Raphael - I concerti del martedì (XXIX edizione),,Evento culturale,,,"Appuntamento fisso ogni martedì, da marzo a novembre, alle 21:00 a Casa Raphael.",Tempo libero,"
LA MUSICA DELL’ACQUAMatteo Scovazzo, glassharp – Serena Santoni, voce recitanteMaggiori informazioni sul concerto sono disponibili qui.
Dal 2016 i Concerti del Martedì di Casa Raphael sono realizzati in collaborazione con l'Associazione Ars Modi.La programmazione completa delle serate è disponibile qui.",Casa Raphael & Ars Modi - I concerti del martedì,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,,,,,Casa Raphael - Palace Hotel,,,,,,,,,,,50,2,,,,,
5588b3e3abdea61aaaec797b951bdfd7,2024-04-09T10:07:33+02:00,2024-04-09T10:11:55+02:00,"Workshop ""Progettazione e realizzazione angolo verde"" - con Lorenzo Adami",,"Evento culturale,Evento di formazione",,,Mettiti alla prova: organizza un piccolo angolo verde!,"Ambiente
Spazio verde
Tempo libero","È arrivata la primavera a Roncegno, e noi desideriamo accoglierla nel migliore dei modi!Il Comune di Roncegno Terme insieme alla Pro Loco Roncegno Terme e a Lorenzo Adami di Bonkei organizza nel mese di aprile 3 incontri formativi per imparare a coltivare e curare al meglio il proprio giardino.Sabato 27 aprile vi aspettiamo al workshop Progettazione e realizzazione angolo verde, alle ore 14:30 in Piazza A. De Giovanni.L'incontro è libero e gratuito, non vincolato alla partecipazione al concorso Balconi fioriti.Per qualsiasi informazione contattare il numero: 348 4653061.","Incontri formativi ""Balconi fioriti""",,,"Adulti,Anziani,Giovani,Famiglie",,Sede Biblioteca Comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2093/32555/3/Balconi+fioriti+-+locandina+formazione.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
f23b2c2cea353f809ab29d62e8a138c8,2024-04-09T09:59:40+02:00,2024-04-09T10:11:03+02:00,"""Realizzazione e cura del giardino"" - con Lorenzo Adami",,"Evento culturale,Evento di formazione",,,Organizza e cura al meglio il tuo giardino!,"Ambiente
Spazio verde
Tempo libero","È arrivata la primavera a Roncegno, e noi desideriamo accoglierla nel migliore dei modi!Il Comune di Roncegno Terme insieme alla Pro Loco Roncegno Terme e a Lorenzo Adami di Bonkei organizza nel mese di aprile 3 incontri formativi per imparare a coltivare e curare al meglio il proprio giardino.Mercoledì 17 aprile vi aspettiamo all'appuntamento Realizzazione e cura del giardino, alle ore 20:00 nella Sala riunioni del Municipio.L'incontro è libero e gratuito, non vincolato alla partecipazione al concorso Balconi fioriti.Per qualsiasi informazione contattare il numero: 348 4653061.","Incontri formativi ""Balconi fioriti""",,,"Adulti,Anziani,Giovani,Famiglie",,Sede Biblioteca Comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2091/32510/5/Balconi+fioriti+-+locandina+formazione.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
542d48c698730b93f5d3607cc7936200,2024-04-09T09:44:24+02:00,2024-04-09T10:01:04+02:00,"Workshop ""Costruisci la tua casetta per uccellini""",,"Evento culturale,Evento di formazione",,,Costruisci anche tu una casetta di legno per uccellini!,"Ambiente
Spazio verde
Tempo libero","La Biblioteca di Roncegno Terme invita i bambini al workshop Costruisci la tua Casetta per Uccellini, organizzato con Anna Andreatta di Siebenpunkt.Il laboratorio si svolgerà giovedì 11 aprile alle ore 16:00 alla Biblioteca di Roncegno.L'iscrizione è obbligatoria e si può fare in biblioteca, la quota di partecipazione è di € 15.00.Per qualsiasi informazione chiamare il numero + 39 0461 64387 o mandare un'e-mail all'indirizzo biblioteca@comune.roncegnoterme.tn.it.","Locandina workshop ""Costruisci la tua casetta per uccellini""",,,"Bambini,Famiglie",,Sede Biblioteca Comunale,,,,La quota di iscrizione è di € 15.00.,,https://www.comune.roncegnoterme.tn.it/content/download/2089/32465/5/Locandina+workshop+costruisci+la+tua+casetta.png,,Contatti Biblioteca comunale,,,,,,,,,,,20,2,,,,,
53e65dcf289ca6af24423e9f03f573dc,2024-04-09T11:40:51+02:00,2024-04-09T11:40:51+02:00,Piante spontanee commestibili e officinali - con Francesca Zeni,,Evento culturale,,,Immergiti nel mondo delle piante e delle loro proprietà!,"Ambiente
Spazio verde
Tempo libero","La Biblioteca di Roncegno Terme vi invita a Piante spontanee commestibili e officinali, due incontri per conoscere al meglio le piante che ci circondano e le loro proprietà.Francesca Zeni, naturopata e accompagnatrice di territorio, curerà gli incontri. Se volete già dare un'occhiata al suo lavoro e alla sua passione trovate tutto sul suo sito Gocce di alchemilla.Il secondo incontro si tiene sabato 11 maggio alle ore 9:00, con ritrovo davanti alla Biblioteca di Roncegno Terme. Vi aspetta una passeggiata per conoscere le specie commestibili e officinali e apprendere l'antica arte della raccolta, con preparazione di un pesto selvatico e degustazione finale.L'incontro è gratuito ma viene richiesta l'iscrizione in biblioteca. I posti disponibili sono 20.Per qualsiasi informazione contattare il numero + 39 0461 764387 o scrivere un'e-mail a biblioteca@comune.roncegnoterme.tn.it.",Locandina piante spontanee commestibili e officinali,,,"Adulti,Anziani,Famiglie,Giovani",,Sede Biblioteca Comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2098/32708/1/Locandina+incontri+piante+spontanee+commestibili+e+officinali.png,,Contatti Biblioteca comunale,,,,,,,,,,,20,2,,,,,
9899542521160600d2db000aa8c97eff,2024-04-09T11:15:12+02:00,2024-04-09T11:32:35+02:00,Piante spontanee commestibili e officinali - con Francesca Zeni,,Evento culturale,,,Immergiti nel mondo delle piante e delle loro proprietà!,"Ambiente
Spazio verde
Tempo libero","La Biblioteca di Roncegno Terme vi invita a Piante spontanee commestibili e officinali, due incontri per conoscere al meglio le piante che ci circondano e le loro proprietà.Francesca Zeni, naturopata e accompagnatrice di territorio, curerà gli incontri. Se volete già dare un'occhiata al suo lavoro e alla sua passione trovate tutto sul suo sito Gocce di alchemilla.Il primo incontro si tiene martedì 7 maggio alle ore 20:30 in Biblioteca di Roncegno Terme, ed è un'introduzione al riconoscimento e alla raccolta delle specie alimurgiche e officinali.L'incontro è libero e gratuito. Per qualsiasi informazione contattare il numero + 39 0461 764387 o scrivere un'e-mail a biblioteca@comune.roncegnoterme.tn.it.",Locandina piante spontanee commestibili e officinali,,,"Adulti,Anziani,Famiglie,Giovani",,Sede Biblioteca Comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2095/32627/6/Locandina+incontri+piante+spontanee+commestibili+e+officinali.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
9864600938fd31a2a906de1f9c09d6c7,2024-04-09T15:30:34+02:00,2024-04-09T15:42:24+02:00,"Commedia ""Basta parlar male delle done""",,Evento culturale,,,Commedia brillante in due atti della FiloLevico.,Tempo libero,"Sabato 13 aprile alle ore 21:00 al Teatro parrocchiale di Roncegno si svolgerà la commedia Basta parlar male delle done. In dialetto levegan, la commedia è stata ideata e scritta dalla FiloLevico. La regia è di Claudio Pasquini.Vi chiediamo gentilmente di confermare la vostra presenza contattando i seguenti recapiti telefonici, disponibili per qualsiasi altra informazione relativa alla serata:


Fernanda → 338 2560060;

Lorenza → 349 5908775.


Le offerte raccolte andranno a sostegno delle attività di Gaia - Gruppo Aiuto Handicap.",Basta parlar male delle done,,,"Adulti,Anziani,Famiglie,Giovani",,Teatro parrocchiale di Roncegno,,,,È gradita un'offerta libera.,,https://www.comune.roncegnoterme.tn.it/content/download/2099/32744/6/Basta+parlar+male+delle+done.jpg,,Contatti Biblioteca comunale,,,,,,,,,,,230,2,,,,,
b41e35fe083f3ad5696ecf39896d6f20,2024-04-27T11:37:49+02:00,2024-04-27T11:37:49+02:00,Merenda della memoria - turismo delle radici,,Evento culturale,,,Partecipa anche tu per condividere e conoscere gli eventi passati e le memorie di Roncegno!,"Tempo libero
Patrimonio culturale","Il Comune di Roncegno Terme vi invita alla Merenda della memoria: si tratta di un'occasione per condividere ricordi, aneddoti, foto e momenti di vita legati alla storia passata della nostra comunità.L'evento si inserisce all'interno del progetto Turismo delle radici, che prenderà il via nei prossimi mesi.Il Turismo delle Radici riguarda i discendenti dei migranti che dall'Italia partirono verso altri paesi, e che ora tornano alla scoperta del proprio passato. Un'occasione per tutti, ronzegnari attuali e di ritorno, per riscoprire la propria identità. ",Merenda della memoria,,,"Adulti,Anziani,Famiglie,Giovani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2134/33287/1/Locandina+-+Merenda+della+memoria.jpg,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
79cddd93d887300c90893c215e109344,2024-05-17T16:13:50+02:00,2024-05-17T16:14:24+02:00,Prima che maggio finisca,,Evento culturale,,,Bepi De Marzi presenta i suoi canti,"Tempo libero
Patrimonio culturale","Vi segnaliamo l'evento Prima che maggio finisca, in programma sabato 25 maggio, in cui Bepi De Marzi presenterà e commenterà i suoi canti. I canti verranno eseguiti dal Coro San Osvaldo di Roncegno Terme diretto da Salvatore la Rosa.L'appuntamento è alle 20:45 a Casa Raphael nel Salone delle Feste a Roncegno Terme.",Prima che maggio finisca,,,"Adulti,Anziani,Famiglie",,Casa Raphael,,,,Durante la serata sarà attiva una raccolta fondi per la cooperativa LavForLife.,,https://www.comune.roncegnoterme.tn.it/content/download/2163/33758/2/Prima+che+maggio+finisca+-+locandina.jpg,,Casa Raphael - Palace Hotel,,,,,,,,,,,0,2,,,,,
ed7e3c22673e51d38dfb4b61c522affe,2024-05-18T09:03:34+02:00,2024-05-18T09:11:53+02:00,Minicorso Manovre Salvavita,,"Evento sociale,Incontro con esperti",,,Incontro organzzato dalla cooperativa AM.I.CA. sulle manovre salvavita del bambino,"Questioni sociali
Politica familiare","Vi segnaliamo l'appuntamento Minicorso manovre salvavita, proposto per sensibilizzare e formare sulle manovre salvavita in caso di soffocamento del lattante e del bambino.L'incontro dalla cooperativa AM.IC.A. e si svolgerà mercoledì 22 maggio dalle ore 17:00 alle ore 19:00 presso l'asilo nido &quot;Nemo&quot; di Roncegno.Le iscrizioni sono ancora aperte, è richiesta la prenotazione mandando un'e-mail a info@amicacoop.net.",MINICORSO MANOVRE SALVAVITA,,,"Adulti,Famiglie",,Asilo Nido Nemo,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2165/33803/2/minicorso+salvavita.jpg,,Asilo Nido Nemo,,,,,,,,,,,0,2,,,,,
a1cbb93bf9e5de2719db81f10803e04a,2024-05-25T09:43:16+02:00,2024-05-25T09:43:16+02:00,Lettere d'amore,,Spettacolo teatrale,,,Spettacolo teatrale e musicale con Maura Pettorruso e Massimo Lazzeri,"Tempo libero
Patrimonio culturale","Lettere d'amore, spettacolo teatrale e musicale con Maura Pettorruso e Massimo Lazzeri. Con musiche originali composte da Bianca Giacomoni e Pietro Tarateo ed eseguite dal vivo al pianoforte da Pietro Tarateo.Appuntamento sabato 8 giugno alle ore 21 nel Salone delle Feste al Palace Hotel a Roncegno Terme.",Lettere d'amore,,,"Adulti,Anziani,Famiglie,Giovani",,Casa Raphael,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2195/34236/1/Lettere+d%27amore+-+Locandina.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
458be584bb13ed969a435eac8f4c3c2c,2024-05-25T10:40:25+02:00,2024-05-25T11:54:25+02:00,Lagorai d'InCanto - 4° appuntamento,,Manifestazione musicale,,,Concerti acustici immersi nella natura,Tempo libero,"Da giugno 2024 ritornano i concerti acustici di Lagorai d'InCanto.Il quarto e ultimo incontro si terrà a Vignola Falesina, a Forte Busa Granda. Il musicista ospitato è Fabio Concato. Ulteriori informazioni sono disponibili sul sito di Lagorai d'InCanto.Appuntamento a Forte Busa Granda domenica 14 luglio alle ore 12:00.In caso di maltempo i concerti verranno riprogrammati o eseguiti in location al chiuso, per gli aggiornamenti in tempo reale visitate il sito di Lagorai d'InCanto o i canali social degli enti aderenti all'iniziativa.",Lagorai d'InCanto 2024,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2202/34431/4/Lagorai+d%27InCanto+2024+-+Locandina.jpg,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/2202/34432/4/a87cde8116ebf5c1e648d8d7f71356cb.pdf/file/Lagorai%2Bd%2527InCanto%2B2024%2B-%2BLocandina%2Bpdf%2B%25282%2529.pdf,Contatti Azienda per il turismo Valsugana Lagorai,,,,,,,,,,,0,2,,,,,
7ca4bf137d50be60bb07c461a088c6e2,2024-05-25T10:35:05+02:00,2024-05-25T11:53:25+02:00,Lagorai d'InCanto - 3° appuntamento,,Manifestazione musicale,,,Concerti acustici immersi nella natura,Tempo libero,"Da giugno 2024 ritornano i concerti acustici di Lagorai d'InCanto.Il terzo incontro si terrà a Grigno, in Località Barricata. I musicisti ospitati sono Erica Mou e Dente. Ulteriori informazioni sono disponibili sul sito di Lagorai d'InCanto.Appuntamento in Località Barricata domenica 7 luglio alle ore 12:00.In caso di maltempo i concerti verranno riprogrammati o eseguiti in location al chiuso, per gli aggiornamenti in tempo reale visitate il sito di Lagorai d'InCanto o i canali social degli enti aderenti all'iniziativa.",Lagorai d'InCanto 2024,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2201/34395/4/Lagorai+d%27InCanto+2024+-+Locandina.jpg,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/2201/34396/4/9377c5cfa7b10a4a6c69df1308f37532.pdf/file/Lagorai%2Bd%2527InCanto%2B2024%2B-%2BLocandina%2Bpdf.pdf,Contatti Azienda per il turismo Valsugana Lagorai,,,,,,,,,,,0,2,,,,,
28e13c6132d0fbe5c9706140fd113b60,2024-05-25T10:17:16+02:00,2024-05-25T11:52:32+02:00,Lagorai d'InCanto - 1° appuntamento,,Manifestazione musicale,,,Concerti acustici immersi nella natura,Tempo libero,"Da giugno 2024 ritornano i concerti acustici di Lagorai d'InCanto.Il primo incontro si terrà a Castel Ivano, in Località Primalunetta. I musicisti ospitati sono Casadilego e Simona Molinari. Ulteriori informazioni sono disponibili sul sito di Lagorai d'InCanto.Appuntamento in Località Primalunetta domenica 9 giugno alle ore 12:00.In caso di maltempo i concerti verranno riprogrammati o eseguiti in location al chiuso, per gli aggiornamenti in tempo reale visitate il sito di Lagorai d'InCanto o i canali social degli enti aderenti all'iniziativa.",Lagorai d'InCanto 2024,,,"Adulti,Famiglie,Giovani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2199/34323/5/Lagorai+d%27InCanto+2024+-+Locandina.jpg,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/2199/34324/5/2248d79fcb2fe992f9867be4d77b8c33.pdf/file/Lagorai%2Bd%2527InCanto%2B2024%2B-%2BLocandina%2Bpdf.pdf,Contatti Azienda per il turismo Valsugana Lagorai,,,,,,,,,,,0,2,,,,,
3e013d197a3eddb7b00e45b2d3391aab,2024-05-23T15:19:34+02:00,2024-05-28T09:16:25+02:00,Ciao Colle,,Sagra,,,6° memorial in ricordo di Stefano Colleoni organizzato l'associazione CIAO COLLE.,Tempo libero,Con Ciao Colle vi aspettano due giornate a tema musica e sport.Appuntamento al campo sportivo di Roncegno Terme venerdì 14 e sabato 15 giugno.,Locandina ciao colle,,,Giovani,,Campo sportivo di Roncegno Terme,,,,,,,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/2185/34060/5/fbb43e732ee042962947f16791fd880c.pdf/file/Ciao%2BColle%2B-%2B%2BLocandina.pdf,Associazione Ciao Colle,,,,,,,,,,,0,2,,,,,
d68e33edfa5a6f8a227ef754522467c6,2024-06-04T09:36:02+02:00,2024-06-04T09:36:37+02:00,In missione tra i poveri dell'Ecuador,,Incontro con esperti,,,Interverranno Mauro e Maria Bleggi,"Demografia e popolazione
Volontariato","Vi segnaliamo l'incontro organizzato dal Fondo di solidarietà di Roncegno In missione tra i poveri dell'Ecuador.Interverranno Mauro e Maria Bleggi, volontari dell'Operazione Mato Grosso e co-fondatori dell'ospedale Claudio Benati di Zumbahua.Appuntamento per giovedì 6 giugno alle ore 20:00 all'oratorio di Roncegno.",In missione tra i poveri dell'Ecuador,,,"Adulti,Giovani,Anziani",,Teatro parrocchiale di Roncegno,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2220/34729/2/In+missione+tra+i+poveri+dell%27Ecuador+-+Locandina.jpg,,Contatti Biblioteca comunale,,,,,,,,,,,250,2,,,,,
356bbd20d87cd65ba209f0b6cd78eb16,2024-06-11T14:59:41+02:00,2024-06-11T14:59:41+02:00,Cantami e leggimi,,Lettura (pubblica),,,Attività Nati per la Musica con Marta Baldessari,Tempo libero,"Vi aspettiamo a Cantami e leggimi, attività di Nati per la Musica con Marta Baldessari, volontaria di Nati per Leggere e Nati per la Musica.L'evento è gratuito ed è consigliato ai bambini tra i 2 e i 6 anni.Appuntamento sabato 22 giugno alle ore 10:00 davanti alla Biblioteca Comunale di Roncegno Terme.",Cantami e leggimi,,,"Bambini,Famiglie",,Sede Biblioteca Comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2227/35069/1/Cantami+e+leggimi+-+Locandina.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
e17a377147573ff8facd17143bf6c225,2024-06-13T16:29:46+02:00,2024-06-13T16:34:43+02:00,Vieni a conoscere la PRO LOCO di Roncegno Terme!,,Evento sociale,,,Serata a partecipazione libera offerta dalla Pro Loco di Roncegno,"Demografia e popolazione
Volontariato
Tempo libero",Vi segnaliamo l'appuntamento con la Pro Loco di Roncegno Terme per conoscere meglio l'associazione e le attività che propone.La serata viene offerta dalla Pro Loco di Roncegno Terme e la partecipazione è libera.Appuntamento mercoledì 19 giugno dalle ore 20:30 presso l'oratorio di Roncegno.,Vieni a conoscere la PRO LOCO di Roncegno Terme!,,,"Adulti,Giovani,Anziani",,Teatro parrocchiale di Roncegno,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2234/35205/2/Vieni+a+conoscere+la+PRO+LOCO+di+Roncegno+Terme%21+-+Locandina.jpg,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
9ddfc299b1fa2081e6bb3347042eb75c,2024-05-25T10:28:32+02:00,2024-06-22T10:52:31+02:00,Lagorai d'InCanto - 2° appuntamento,,Manifestazione musicale,,,Concerti acustici immersi nella natura,Tempo libero,"Da giugno 2024 ritornano i concerti acustici di Lagorai d'InCanto.I musicisti ospitati per il secondo appuntamento sono i The Bastard Sons of Dioniso e Bugo. Ulteriori informazioni sono disponibili sul sito di Lagorai d'InCanto.A causa del maltempo il concerto si terrà presso il Teatro parrocchiale di Roncegno Terme, in Via De Pretis 12, alle ore 18:00. La capienza del teatro è di 250 persone.L'accesso è su prenotazione tramite la piattaforma Eventbrite, le prenotazioni apriranno alle ore 14:00.",Lagorai d'InCanto 2024,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Teatro parrocchiale di Roncegno,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2200/34359/7/Lagorai+d%27InCanto+2024+-+Locandina.jpg,https://www.comune.roncegnoterme.tn.it/ocmultibinary/download/2200/34360/7/8b64763c6b29d4ac493d72a1537274e6.pdf/file/Lagorai%2Bd%2527InCanto%2B2024%2B-%2BLocandina%2Bpdf%2B%25281%2529.pdf,Contatti Azienda per il turismo Valsugana Lagorai,,,,,,,,,,,0,2,,,,,
2c03222c79aa2c4497f9f5bb6c6a0449,2024-06-11T09:50:20+02:00,2024-06-24T16:11:25+02:00,Sagra de San Piero e Paolo,,"Festa patronale / Festa dei santi,Sagra",,,"Ritorna la sagra di Roncegno con tanta musica, cibo e divertimento!",Tempo libero,"Ritorna la Sagra de San Piero e Paolo con due giornate all'insegna del divertimento per festeggiare i Santi Patroni e i Vigili del Fuoco.Sarà ovviamente presente la musica: venerdì 28 suoneranno Fabio e Mirko mentre sabato 29 Leonardo Bort.Per entrambe le giornate fornitissima cucina con panini farciti, frittura di pesce e piatti tipici.Appuntamento presso la caserma dei Vigili del Fuoco di Roncegno, in via Ferme 2/A, venerdì 28 e sabato 29 giugno dalle ore 18:00 alle 02:00.",Sagra de San Piero e Paolo,,,"Adulti,Anziani,Bambini,Famiglie,Giovani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2225/35024/4/Sagra+de+San+Piero+e+Paolo+-+Locandina.jpg,,Corpo dei Vigili del Fuoco Volontari Roncegno Terme,,,,,,,,,,,0,2,,,,,
885bc4d95e54e57699e4139e74aeadc3,2024-06-26T10:23:01+02:00,2024-06-26T10:23:01+02:00,La chiesa inedita dei santi Pietro e Paolo,,Visita guidata,,,Visita guidata all'interno della chiesa di Roncegno,"Tempo libero
Patrimonio culturale","Sabato 29 giugno, nel giorno della festa patronale di Roncegno, vi aspettiamo alla visita guidata La chiesa inedita dei santi Pietro e Paolo, un'occasione per conoscere a fondo la storia e i segreti della nostra chiesa.La visita guidata è gratuita, non necessita prenotazione e si articolerà in due turni:


ore 10:00 - 1° turno

ore 15.30 - 2° turno


",La chiesa inedita dei santi Pietro e Paolo,,,"Adulti,Anziani,Famiglie,Giovani",,Chiesa dei Santi Pietro e Paolo,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2294/36226/1/Chiesa+inedita+-+Locandina.jpg,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
e37c164c6e02e4b73e7b03efccb174ed,2024-06-25T15:10:17+02:00,2024-07-02T14:45:51+02:00,Cinema sotto le stelle - Sotto le stelle di Parigi,,Proiezione cinematografica,,,Ritornano gli appuntamenti con il cinema all'aperto nel parco delle terme,Tempo libero,"Vi aspettiamo al secondo appuntamento di Cinema sotto le stelle, al parco delle terme di Roncegno mercoledì 17 luglio alle ore 21:00.Verrà proiettato il film Sotto le stelle di Parigi: Christine vive una vita da clochard. Con un passato da ricercatrice e degli affetti dimenticati o persi per strada, Christine è riuscita comunque a costruirsi una routine fatta di luoghi e persone fidate. Fino a un incontro spiazzante: quello con Suli, bambino di otto anni che non parla francese e che non trova più la madre.Vi consigliamo di portare una coperta per guardare il film in comodità. In caso di maltempo il film verrà proiettato al teatro parrocchiale di Roncegno.",Cinema sotto le stelle,,,"Adulti,Famiglie,Giovani,Anziani,Bambini",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2283/35968/5/Cinema+sotto+le+stelle+-+Locandina.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
491e9aec4736fae7abe0771e17ac958a,2024-06-25T15:01:46+02:00,2024-07-02T14:45:18+02:00,Cinema sotto le stelle - Il piccolo Yeti,,Proiezione cinematografica,,,Ritornano gli appuntamenti con il cinema all'aperto nel parco delle terme,Tempo libero,"Vi aspettiamo al primo appuntamento di Cinema sotto le stelle, al parco delle terme di Roncegno mercoledì 3 luglio alle ore 21:00.Verrà proiettato il film d'animazione Piccolo Yeti: quando l'adolescente Yi incontra un giovane Yeti sul tetto del suo palazzo a Shanghai, insieme agli amici Jin e Peng decide di intraprendere una ricerca epica con l'obiettivo di ricongiungere la creatura magica con la sua famiglia nel punto più alto della Terra.Vi consigliamo di portare una coperta per guardare il film in comodità. In caso di maltempo il film verrà proiettato al teatro parrocchiale di Roncegno.",Cinema sotto le stelle,,,"Bambini,Famiglie,Giovani,Adulti,Anziani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2281/35923/6/Cinema+sotto+le+stelle+-+Locandina.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
dcf84fe74e014545e87f1572482269a2,2024-06-25T15:15:45+02:00,2024-07-02T14:46:22+02:00,Cinema sotto le stelle - Queen of Katwe,,Proiezione cinematografica,,,Ritornano gli appuntamenti con il cinema all'aperto nel parco delle terme,Tempo libero,"Vi aspettiamo all'ultimo appuntamento di Cinema sotto le stelle, al parco delle terme di Roncegno mercoledì 31 luglio alle ore 21:00.Verrà proiettato il film Queen of Katwe: nata nei bassifondi di Kampala, Phiona Mutesi è costretta ad abbandonare la scuola da giovanissima, nulla però le impedirà di diventare un prodigio negli scacchi.Vi consigliamo di portare una coperta per guardare il film in comodità. In caso di maltempo il film verrà proiettato al teatro parrocchiale di Roncegno.",Cinema sotto le stelle,,,"Adulti,Famiglie,Giovani,Bambini,Anziani",,Palazzo del Municipio,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2284/36004/4/Cinema+sotto+le+stelle+-+Locandina.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
7faedc5e959cf3a6145f9f02d294ecc6,2024-07-01T09:46:06+02:00,2024-07-03T10:56:02+02:00,Golosi di natura,,Visita guidata,,,Camminata guidata per conoscere la biodiversità rurale di Roncegno e Ronchi e le malghe del territorio,"Tempo libero
Patrimonio culturale","Vi segnaliamo il secondo appuntamento di Golosi di natura, organizzato dalla Rete di Riserve del Fiume Brenta, grazie al quale potrete conoscere gli alpeggi e l'arte della caseificazione sulla montagna del nostro Comune e del Comune di Ronchi Valsugana.Appuntamento sabato 6 luglio alle ore 14:30. Il ritrovo è a Ronchi Valsugana nel parcheggio vicino al cimitero.Si tratta di una camminata che vi porterà a visitare Lago Colo e Lago delle Carezze, nonché le piccole realtà delle malghe locali.Interverrà Francesco Gubert, maestro assaggiatore di formaggi e agronomo specializzato zootecnia di montagna. Il tutto ovviamente davanti a un tagliere di gustosi formaggi.La prenotazione è obbligatoria al numero 349 580 5345, ed è richiesto un contributo simbolico di €5,00.",Golosi di natura,,,"Adulti,Famiglie,Giovani",,Palazzo del Municipio,,,,"Viene richiesto un contributo simbolico di € 5,00.",,https://www.comune.roncegnoterme.tn.it/content/download/2306/36493/4/Golosi+di+natura+-+Locandina.jpg,,Contatti Ufficio Segreteria,,,,,,,,,,,0,2,,,,,
286e7579f7e9cd2e3c7c68ad8c27bc03,2024-06-25T15:58:52+02:00,2024-07-04T16:56:13+02:00,Letture per bambini con Elga Rizzon,,Lettura (pubblica),,,Letture per bambini,Tempo libero,Letture per bambini con Elga Rizzon. Evento a ingresso libero e gratuito. I prossimi appuntamenti sono previsti giovedì 1 agosto e giovedì 29 agosto.Appuntamento alle ore 18:00 davanti alla Biblioteca Comunale di Roncegno Terme.,Letture con Elga Rizzon,,,"Famiglie,Bambini",,Sede Biblioteca Comunale,,,,,,https://www.comune.roncegnoterme.tn.it/content/download/2287/36070/6/Letture+con+Elga+Rizzon+-+Locandina.png,,Contatti Biblioteca comunale,,,,,,,,,,,0,2,,,,,
